year,votes_higho,vap
1952,61552,99929
1954,43854,102075
1956,62027,104515
1958,47203,106447
1960,68838,109672
1962,53141,112952
1964,70645,114090
1966,56188,116638
1968,73213,120285
1970,58014,124498
1972,77719,140777
1974,55944,146338
1976,81556,152308
1978,58918,155609
1980,86515,163945
1982,67616,166724
1984,92653,173995
1986,64991,177922
1988,91595,181956
1990,67859,185888
1992,104405,189687
1994,75106,193163
1996,96263,196928
1998,72537,200929
2000,105326,205813
2002,78382,215462
2004,122295,220336
2006,83816,225485
2008,131305,230872
2010,89099,236023
2012,129071,240958
2014,81687,245713
2016,136754,250056
2018,117069,255802
2020,158408,258339